timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Shortwave Radiation,Bazylea Precipitation Total,Bazylea Snowfall Amount,Bazylea Relative Humidity [2 m],Bazylea Cloud Cover Total,Bazylea Cloud Cover High [high cld lay],Bazylea Cloud Cover Medium [mid cld lay],Bazylea Cloud Cover Low [low cld lay],Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Speed [10 m],Bazylea Wind Direction [10 m],Bazylea Wind Speed [80 m],Bazylea Wind Direction [80 m],Bazylea Wind Gust,Bazylea Wind Speed [900 mb],Bazylea Wind Direction [900 mb]
20211117T0000,5.5005283,0.0,0.0,0.0,0.0,82.0,100.0,11.0,42.0,100.0,1022.4,8.287822,272.48956,10.805999,271.90915,13.32,22.19773,278.39294
20211117T0100,5.3805285,0.0,0.0,0.0,0.0,80.0,100.0,13.0,27.0,100.0,1022.6,9.028754,274.5739,11.609651,277.125,14.4,22.180206,283.13403
20211117T0200,5.2305284,0.0,0.0,0.0,0.0,80.0,100.0,12.0,21.0,100.0,1022.9,9.36,270.0,11.885453,271.73572,14.04,25.045238,288.43497
20211117T0300,5.1205287,0.0,0.0,0.0,0.0,79.0,100.0,9.0,79.0,100.0,1022.4,10.105681,274.08563,13.441071,277.69604,14.4,24.627787,285.25513
20211117T0400,4.8105288,0.0,0.0,0.0,0.0,80.0,100.0,0.0,85.0,100.0,1022.5,10.799999,270.0,14.044615,271.4688,14.759999,24.923338,280.82303
20211117T0500,4.5105286,0.0,0.0,0.0,0.0,79.0,100.0,0.0,86.0,100.0,1022.8,10.1376915,263.8845,12.620554,266.7295,16.919998,24.442911,279.3236
20211117T0600,4.2305284,0.0,0.0,0.0,0.0,81.0,100.0,0.0,100.0,10.0,1023.0,8.473393,257.73523,11.013882,258.69006,15.84,24.216522,275.1173
20211117T0700,4.0805287,0.0,0.0,0.0,0.0,81.0,81.0,0.0,81.0,3.0,1023.3,7.2359104,264.28943,10.8955765,262.40536,15.119999,24.609364,275.87738
20211117T0800,3.6305285,16.040424,4.45,0.0,0.0,83.0,31.0,0.0,31.0,7.0,1024.0,9.007196,267.7094,13.339445,266.90594,14.4,25.6233,274.02826
20211117T0900,4.3605285,0.0,103.24,0.0,0.0,78.0,100.0,0.0,48.0,100.0,1024.8,12.371645,261.63412,13.441071,262.30396,14.04,22.366402,273.6914
20211117T1000,5.4105287,0.0,222.5,0.0,0.0,73.0,100.0,0.0,83.0,100.0,1025.1,13.75558,263.991,14.440443,265.71085,13.32,17.015474,276.07245
20211117T1100,6.2505283,0.0,281.24,0.0,0.0,70.0,100.0,0.0,39.0,100.0,1024.9,14.404499,271.4321,14.404499,271.4321,14.04,12.224107,283.627
20211117T1200,6.7105284,0.0,284.8,0.0,0.0,67.0,100.0,0.0,0.0,100.0,1025.0,13.979871,281.88867,14.05845,283.32452,12.959999,11.874544,284.03625
20211117T1300,8.330529,22.340425,376.47,0.0,0.0,60.0,59.0,0.0,0.0,59.0,1022.7,10.365251,290.32315,10.028439,291.0375,11.879999,11.503113,290.1363
20211117T1400,8.770529,0.0,332.86,0.0,0.0,58.0,100.0,0.0,0.0,100.0,1023.5,11.043261,289.0256,11.165805,290.77228,13.679999,11.841756,289.53665
20211117T1500,8.640529,38.93617,274.12,0.0,0.0,59.0,33.0,0.0,0.0,33.0,1023.4,11.525623,284.47028,11.620809,286.1892,11.159999,11.966954,285.70865
20211117T1600,8.120529,45.95745,167.31999,0.0,0.0,62.0,22.0,0.0,0.0,22.0,1024.1,11.525623,284.47028,12.661564,284.82648,10.799999,11.525623,284.47028
20211117T1700,7.0505285,51.389183,38.27,0.0,0.0,67.0,3.0,0.0,0.0,3.0,1023.9,10.308831,282.09476,14.145756,284.74356,11.5199995,7.42159,284.03625
20211117T1800,6.1405287,0.0,0.0,0.0,0.0,72.0,6.0,0.0,0.0,6.0,1024.4,9.422101,276.58194,14.84318,284.03625,14.04,2.4149535,296.56506
20211117T1900,5.5805287,0.0,0.0,0.0,0.0,75.0,31.0,17.0,0.0,31.0,1025.6,7.928178,267.39746,12.682018,276.5198,13.679999,1.9386592,68.19859
20211117T2000,4.8605285,0.0,0.0,0.0,0.0,78.0,41.0,0.0,0.0,41.0,1025.6,7.771331,256.6075,12.620554,266.7295,14.04,4.2136917,70.016884
