timestamp,Bazylea Temperature [2 m elevation corrected],Bazylea Sunshine Duration,Bazylea Precipitation Total,Bazylea Cloud Cover Total,Bazylea Mean Sea Level Pressure [MSL],Bazylea Wind Gust
20210901T0000,12.970529,0.0,0.0,14.0,1023.2,24.119999
20210901T0100,12.120529,0.0,0.0,0.0,1023.5,22.68
20210901T0200,11.420529,0.0,0.0,0.0,1023.7,22.319998
20210901T0300,10.890529,0.0,0.0,0.0,1023.3,23.039999
20210901T0400,10.390529,0.0,0.0,0.0,1022.8,20.880001
20210901T0500,10.140529,0.0,0.0,0.0,1024.1,18.359999
20210901T0600,9.900529,13.133333,0.0,0.0,1024.4,16.919998
20210901T0700,11.140529,60.0,0.0,0.0,1024.6,15.4800005
20210901T0800,12.980529,60.0,0.0,0.0,1024.5,16.56
20210901T0900,15.360529,60.0,0.0,0.0,1024.1,15.84
20210901T1000,17.80053,60.0,0.0,0.0,1024.3,16.919998
20210901T1100,20.180529,60.0,0.0,0.0,1023.5,13.679999
20210901T1200,22.600529,60.0,0.0,0.0,1023.1,16.919998
20210901T1300,23.32053,60.0,0.0,0.0,1023.9,23.039999
20210901T1400,23.850529,60.0,0.0,0.0,1024.0,21.96
20210901T1500,24.07053,60.0,0.0,0.0,1022.9,20.519999
20210901T1600,24.14053,60.0,0.0,0.0,1023.2,18.0
20210901T1700,23.690529,60.0,0.0,0.0,1022.9,18.0
20210901T1800,22.660528,60.0,0.0,0.0,1022.8,21.24
20210901T1900,21.000528,60.0,0.0,0.0,1023.4,21.96
20210901T2000,18.98053,11.35,0.0,0.0,1023.6,27.0
20210901T2100,16.90053,0.0,0.0,0.0,1024.6,29.16
20210901T2200,14.920529,0.0,0.0,0.0,1024.5,25.56
20210901T2300,13.810529,0.0,0.0,0.0,1024.3,20.519999
20210902T0000,12.870529,0.0,0.0,0.0,1024.5,21.599998
20210902T0100,11.960529,0.0,0.0,0.0,1024.9,21.24
20210902T0200,11.340529,0.0,0.0,0.0,1025.2,30.599998
20210902T0300,10.810529,0.0,0.0,0.0,1024.5,28.44
20210902T0400,10.530529,0.0,0.0,0.0,1024.8,25.199999
20210902T0500,10.380529,0.0,0.0,0.0,1025.1,23.4
20210902T0600,10.100529,11.8,0.0,0.0,1024.8,23.039999
20210902T0700,11.270529,60.0,0.0,0.0,1025.0,16.199999
20210902T0800,13.420529,60.0,0.0,0.0,1024.7,11.159999
20210902T0900,16.15053,60.0,0.0,0.0,1024.7,12.24
20210902T1000,18.79053,60.0,0.0,0.0,1023.7,17.28
20210902T1100,21.04053,60.0,0.0,0.0,1023.4,14.4
20210902T1200,22.87053,60.0,0.0,0.0,1023.1,11.879999
20210902T1300,23.510529,60.0,0.0,0.0,1021.7,11.5199995
20210902T1400,24.590528,60.0,0.0,0.0,1021.6,8.64
20210902T1500,25.15053,60.0,0.0,0.0,1021.0,14.4
20210902T1600,25.330528,60.0,0.0,0.0,1020.5,13.679999
20210902T1700,25.030529,60.0,0.0,0.0,1020.0,11.159999
20210902T1800,24.48053,60.0,0.0,0.0,1020.4,14.759999
20210902T1900,23.04053,60.0,0.0,0.0,1020.6,18.359999
20210902T2000,21.45053,9.366667,0.0,0.0,1020.2,13.679999
20210902T2100,19.750528,0.0,0.0,0.0,1021.3,9.72
20210902T2200,18.21053,0.0,0.0,0.0,1022.0,9.72
20210902T2300,16.910528,0.0,0.0,0.0,1021.7,16.56
20210903T0000,15.960529,0.0,0.0,0.0,1021.4,14.04
20210903T0100,15.270529,0.0,0.0,0.0,1022.1,11.5199995
20210903T0200,14.880529,0.0,0.0,0.0,1021.9,10.08
20210903T0300,15.190529,0.0,0.0,0.0,1020.7,10.799999
20210903T0400,14.180529,0.0,0.0,0.0,1021.1,8.64
20210903T0500,12.990529,0.0,0.0,0.0,1021.4,2.8799999
20210903T0600,13.180529,10.45,0.0,0.0,1021.5,0.71999997
20210903T0700,14.0505295,60.0,0.0,0.0,1021.7,6.12
20210903T0800,15.950529,60.0,0.0,0.0,1021.0,5.3999996
