status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
134115277150304_181886762373155,photo,10/8/2017 0:24,7,0,0,7,0,0,0,0,0
134115277150304_181804739048024,photo,10/7/2017 20:24,95,3,0,93,1,1,0,0,0
134115277150304_181615945733570,photo,10/7/2017 5:57,9,0,0,9,0,0,0,0,0
134115277150304_181523192409512,video,10/7/2017 0:56,328,662,62,222,104,0,1,1,0
134115277150304_181504085744756,photo,10/6/2017 23:06,557,27,2,517,36,3,1,0,0
134115277150304_181200092441822,photo,10/6/2017 1:04,11,0,0,11,0,0,0,0,0
134115277150304_181156499112848,video,10/5/2017 23:42,228,507,42,184,40,1,2,0,1
134115277150304_181004365794728,photo,10/5/2017 9:02,15,10,0,14,1,0,0,0,0
134115277150304_180867292475102,video,10/5/2017 0:18,187,315,39,168,19,0,0,0,0
134115277150304_180701562491675,photo,10/4/2017 7:47,74,1,0,71,3,0,0,0,0
134115277150304_180629852498846,photo,10/4/2017 3:19,5,0,0,5,0,0,0,0,0
134115277150304_180568812504950,video,10/3/2017 23:28,240,769,37,209,28,2,1,0,0
134115277150304_180564715838693,photo,10/3/2017 22:55,70,2,0,69,0,1,0,0,0
134115277150304_180564385838726,photo,10/3/2017 22:53,54,2,1,52,0,2,0,0,0
134115277150304_180315912530240,video,10/3/2017 2:32,194,645,28,158,35,1,0,0,0
134115277150304_180308202531011,photo,10/3/2017 1:07,7,0,0,7,0,0,0,0,0
134115277150304_180302052531626,photo,10/3/2017 0:23,38,0,7,38,0,0,0,0,0
134115277150304_180190765876088,photo,10/2/2017 11:45,130,12,0,128,2,0,0,0,0
134115277150304_180059952555836,photo,10/2/2017 2:06,4,1,0,4,0,0,0,0,0
134115277150304_180004792561352,video,10/1/2017 23:25,211,677,23,172,38,0,1,0,0
134115277150304_179683862593445,video,9/30/2017 23:25,253,841,41,211,39,2,1,0,0
134115277150304_179351062626725,video,9/29/2017 23:16,229,803,36,195,31,0,3,0,0
134115277150304_179346932627138,photo,9/29/2017 22:22,59,12,1,57,1,1,0,0,0
134115277150304_179346235960541,photo,9/29/2017 22:17,12,1,0,12,0,0,0,0,0
134115277150304_179344672627364,photo,9/29/2017 22:11,37,3,0,37,0,0,0,0,0
134115277150304_179342345960930,photo,9/29/2017 22:04,69,5,0,69,0,0,0,0,0
134115277150304_179158825979282,photo,9/29/2017 7:20,33,3,0,33,0,0,0,0,0
134115277150304_179157112646120,photo,9/29/2017 7:15,20,0,0,20,0,0,0,0,0
134115277150304_179155052646326,photo,9/29/2017 7:07,8,3,1,8,0,0,0,0,0
614855718638584_740932382697583,photo,2/22/2018 22:14,19,0,0,19,0,0,0,0,0
614855718638584_740372422753579,photo,2/22/2018 8:26,35,0,0,35,0,0,0,0,0
614855718638584_740272756096879,video,2/22/2018 7:10,178,1320,169,89,83,4,2,0,0
614855718638584_740006102790211,video,2/22/2018 1:06,198,473,112,109,87,1,0,1,0
614855718638584_739236799533808,video,2/21/2018 7:05,179,489,114,116,62,0,1,0,0
614855718638584_739059136218241,photo,2/21/2018 2:49,34,1,0,34,0,0,0,0,0
614855718638584_738995426224612,video,2/21/2018 1:15,30,0,3,29,0,0,1,0,0
614855718638584_738990362891785,video,2/21/2018 1:14,169,881,141,83,82,0,4,0,0
614855718638584_738956976228457,photo,2/21/2018 0:05,21,1,0,21,0,0,0,0,0
614855718638584_738287842962037,video,2/20/2018 7:15,41,0,4,41,0,0,0,0,0
614855718638584_717002211757267,video,1/28/2018 22:09,136,270,114,80,49,3,3,1,0
614855718638584_716436295147192,video,1/28/2018 7:05,37,0,4,37,0,0,0,0,0
614855718638584_716426425148179,video,1/28/2018 7:02,164,1819,163,95,61,1,6,0,1
614855718638584_716183655172456,video,1/28/2018 1:11,173,1214,244,106,64,1,2,0,0
614855718638584_716026975188124,video,1/27/2018 22:01,177,706,186,98,77,0,2,0,0
614855718638584_716007138523441,video,1/27/2018 21:51,47,7,17,45,2,0,0,0,0
614855718638584_715427938581361,video,1/27/2018 7:06,242,744,193,154,85,0,3,0,0
614855718638584_715235385267283,photo,1/27/2018 2:32,27,1,0,27,0,0,0,0,0
614855718638584_715162145274607,video,1/27/2018 1:02,225,559,166,125,98,0,1,0,1
614855718638584_714362448687910,photo,1/26/2018 2:56,22,0,1,22,0,0,0,0,0
614855718638584_714295928694562,video,1/26/2018 1:08,8,0,0,8,0,0,0,0,0
614855718638584_714291028695052,video,1/26/2018 1:07,238,815,165,136,96,2,3,1,0
614855718638584_713599265430895,video,1/25/2018 7:08,235,1278,212,171,60,2,1,0,1
614855718638584_713451405445681,photo,1/25/2018 3:05,25,0,1,25,0,0,0,0,0
614855718638584_713434572114031,photo,1/25/2018 2:37,29,4,0,29,0,0,0,0,0
614855718638584_713414022116086,photo,1/25/2018 2:04,17,0,0,17,0,0,0,0,0
614855718638584_713374002120088,video,1/25/2018 1:07,46,0,0,45,1,0,0,0,0
614855718638584_713372988786856,video,1/25/2018 1:06,362,745,199,190,168,3,1,0,0
614855718638584_713283305462491,photo,1/24/2018 22:42,209,0,1,203,3,3,0,0,0
614855718638584_712708478853307,photo,1/24/2018 7:47,23,1,0,23,0,0,0,0,0
614855718638584_712658652191623,video,1/24/2018 7:04,290,915,240,166,119,2,2,1,0
614855718638584_712438685546953,photo,1/24/2018 1:29,41,0,1,40,1,0,0,0,0
614855718638584_712420808882074,video,1/24/2018 1:08,267,1221,259,176,90,0,1,0,0
614855718638584_712359482221540,photo,1/23/2018 23:26,11,0,0,11,0,0,0,0,0
614855718638584_711769015613920,photo,1/23/2018 8:05,143,0,1,143,0,0,0,0,0
614855718638584_711704852287003,video,1/23/2018 7:04,225,1085,204,140,82,0,1,2,0
