"Nr okręgu";"Siedziba OKW";"Nr listy (po nadaniu)";"Nazwa komitetu";"Sygnatura";"Typ";"Pozycja na liście";"Nazwisko";"Imiona";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m.z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";1;"ŻUK";"Stanisław Adam";"Mężczyzna";"menedżer";"Zawidów";"022501";"m. Zawidów";"nie należy do partii politycznej";"";7694;0.24814552022189254;0.017792228214117235;"Tak"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";2;"SAMBORSKI";"Tadeusz";"Mężczyzna";"emeryt - historyk";"Rogów Legnicki";"020907";"gm. Prochowice";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";5703;0.18393214216603238;0.013188078698350739;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";3;"SZCZĘSNA";"Mariola";"Kobieta";"wyższy urzędnik samorządowy - burmistrz";"Mojesz";"021203";"gm. Lwówek Śląski";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";3474;0.11204283041991872;0.008033558723140533;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";4;"ROJEK";"Andrzej";"Mężczyzna";"lekarz- specjalista ortopedii";"Zgorzelec";"022502";"m. Zgorzelec";"nie należy do partii politycznej";"";3174;0.10236728375153197;0.007339814446530816;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";5;"LASKOWSKI";"Stanisław";"Mężczyzna";"przedstawiciel władzy samorządowej - wicestarosta";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";1382;0.044572018319035026;0.0031958486342487675;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";6;"JURKOWSKI";"Artur Andrzej";"Mężczyzna";"wyższy urzędnik samorządowy - wójt";"Ruszowice";"020302";"gm. Głogów";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";1032;0.033283880539250466;0.00238648031153743;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";7;"RAK";"Zofia";"Kobieta";"emeryt - nauczyciel";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";1249;0.04028252596271689;0.0028882886716184593;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";8;"PIOTROWSKI";"Wiktor Marian";"Mężczyzna";"emeryt - lekarz";"Jawor";"020501";"m. Jawor";"nie należy do partii politycznej";"";395;0.012739469780042572;0.0009134299642027953;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";9;"BRZOZOWSKA";"Bożena Maria";"Kobieta";"radca prawny";"Dziwiszów";"020606";"gm. Jeżów Sudecki";"nie należy do partii politycznej";"";703;0.022673031026252982;0.0016256740881887724;"Nie"
1;"Legnica";1;"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE";"ZPOW-601-19/19";"Komitet wyborczy partii politycznej";10;"BURDYNA";"Olga";"Kobieta";"emeryt - kucharz";"Żeliszów";"020102";"gm. Bolesławiec";"nie należy do partii politycznej";"";776;0.025027414048893762;0.001794485195497137;"Nie"
