Nr okrÍgu;Siedziba OKW;Nr listy (po nadaniu);Nazwa komitetu;Sygnatura;Typ;Pozycja na liúcie;Nazwisko;Imiona;P≥eÊ;ZawÛd;Miejsce zamieszkania;TERYT m. z.;Gmina m.z.;PrzynaleønoúÊ do partii;Poparcie;Liczba g≥osÛw;Procent g≥osÛw oddanych na listÍ;Procent g≥osÛw oddanych w okrÍgu;Czy przyznano mandat
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;1;ØUK;Stanis≥aw Adam;MÍøczyzna;menedøer;ZawidÛw;022501;m. ZawidÛw;nie naleøy do partii politycznej;;7694;24,81%;1,78%;Tak
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;2;SAMBORSKI;Tadeusz;MÍøczyzna;emeryt - historyk;RogÛw Legnicki;020907;gm. Prochowice;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;5703;18,39%;1,32%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;3;SZCZ SNA;Mariola;Kobieta;wyøszy urzÍdnik samorzπdowy - burmistrz;Mojesz;021203;gm. LwÛwek ålπski;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;3474;11,20%;0,80%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;4;ROJEK;Andrzej;MÍøczyzna;lekarz- specjalista ortopedii;Zgorzelec;022502;m. Zgorzelec;nie naleøy do partii politycznej;;3174;10,24%;0,73%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;5;LASKOWSKI;Stanis≥aw;MÍøczyzna;przedstawiciel w≥adzy samorzπdowej - wicestarosta;Jawor;020501;m. Jawor;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;1382;4,46%;0,32%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;6;JURKOWSKI;Artur Andrzej;MÍøczyzna;wyøszy urzÍdnik samorzπdowy - wÛjt;Ruszowice;020302;gm. G≥ogÛw;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;1032;3,33%;0,24%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;7;RAK;Zofia;Kobieta;emeryt - nauczyciel;GryfÛw ålπski;021201;gm. GryfÛw ålπski;cz≥onek partii politycznej: Polskie Stronnictwo Ludowe;;1249;4,03%;0,29%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;8;PIOTROWSKI;Wiktor Marian;MÍøczyzna;emeryt - lekarz;Jawor;020501;m. Jawor;nie naleøy do partii politycznej;;395;1,27%;0,09%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;9;BRZOZOWSKA;Boøena Maria;Kobieta;radca prawny;DziwiszÛw;020606;gm. JeøÛw Sudecki;nie naleøy do partii politycznej;;703;2,27%;0,16%;Nie
1;Legnica;1;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE;ZPOW-601-19/19;Komitet wyborczy partii politycznej;10;BURDYNA;Olga;Kobieta;emeryt - kucharz;ØeliszÛw;020102;gm. Boles≥awiec;nie naleøy do partii politycznej;;776;2,50%;0,18%;Nie
